time,TC1,TC2,TC3,TC4,PT1,PT2,PT3,PT4,LC
317,1000,1000,1000,1000,1000,1000,1000,1000,1000
360,999.145092158549,999.7241766508836,1000.5633267178059,999.7270164959117,999.6927554376787,1000.443677462874,1000.6848159156657,1000.1759332184375,999.6018856705927
411,998.6310204378511,1000.0544921311732,999.5731241720663,999.4787561473895,998.9297400232344,1000.71055099469,1000.3853671329891,999.511387782142,998.78614412401
458,998.8717650657983,1000.5493170576373,999.4244537493527,999.683993298642,998.5338149259626,1000.1022061928735,999.6886697290056,998.886280154568,998.8643062613968
505,999.0325463422822,1000.6211027383416,998.5068730180766,998.7212368106651,999.4742078776432,1000.4605796500844,1000.3202892930218,998.5563272785275,999.5349263632781
552,998.9343668910019,1001.5008906386988,998.9321949378225,998.0444529224029,999.8131076588684,1000.1251475580915,999.6386202920347,998.1183520688697,999.6890785466916
598,998.7001722415948,1001.3089150913038,998.2588310002675,998.1906460719694,998.8777825229708,1000.2658901622625,999.8139011748324,997.4811014023641,999.4206430049767
644,998.3313465328131,1001.9210555871396,997.6044704081118,997.9263282823745,998.3984668338859,1000.7099785416613,999.3912743596984,998.4415321090526,999.617290757779
691,998.1613250135301,1001.728595115926,997.0616351090107,997.5405641133827,998.223079849103,1000.5935021324971,998.8867572838761,999.347203917435,999.1645853105102
737,998.8104668730372,1000.9482995891799,997.9488889393277,997.5417017047696,998.3359508975504,999.9337745528616,999.8103577379525,998.67465558899,999.6978443917018
785,998.7839384916032,1000.9817267028491,998.837515925441,997.3180661588952,998.7308382984542,999.7738337875417,998.8984540171639,998.3509369447954,1000.3034153365534
832,999.2269045578641,1000.6231060838699,998.4724281665302,996.9810619763225,999.1811199809574,1000.2271552912053,998.0491458750976,999.1211977739856,999.4479158043938
880,998.9175026742599,1000.7305358312507,998.3130515033308,996.1057203075773,999.2966547421912,999.3594332439998,997.5279827770017,999.9402588032093,999.7588390937595
928,998.4984137937995,1000.4170398866366,998.6857816703301,996.2751697753698,999.2749848596129,1000.2016449216271,998.1891212310031,1000.4191473406189,1000.7084506540749
975,998.2489708973218,999.484582750597,998.1286140946396,996.9793289254619,998.5789049175742,1000.5221107850682,997.5510577677352,1000.7915427620959,1000.0479063707293
1022,998.8188681968257,999.4721042378779,997.1520707756068,997.1350773000498,998.2636565166168,999.8309009654366,996.6176207876952,1001.3846469404182,1000.3137180098621
1069,998.5504861723645,1000.1880831064053,997.8743333041053,997.5886565009251,999.1366542162286,1000.4958133394632,996.7674748818908,1000.8898797494072,1000.859112920921
1117,997.9407809832857,1001.1817659784267,997.5384499850929,997.7208878634292,1000.0449938462893,1000.8214917341024,996.3725862580534,1000.1658670769334,1001.592291753438
1163,997.3998782363575,1001.8532470544511,998.1459920868436,997.4726558195383,999.0826573340486,1000.2371332424461,995.7392399616836,999.7867196450792,1001.1983215998305
1211,996.9106848973639,1001.5981819806796,997.614394706417,998.2927859517406,998.5746111863632,999.4286794545897,996.245429304983,998.8903003560673,1001.7049662191815
1256,997.0769098459468,1000.920884906166,997.9174417869883,997.752454994476,997.6749669361102,999.0449432930435,996.1353664007502,998.4424243289582,1002.0380257971077
1304,996.2252376017215,1001.1523441140995,997.0666984577177,997.7542001818059,996.6978379308424,998.7095082702953,996.1337794587605,998.8580664041885,1002.2643912738009
1352,996.5242330182109,1000.4217071113843,998.0265149968079,997.3288327370743,997.0330557001272,998.6130639931414,996.8878317548254,999.293464723655,1001.937780560307
1399,997.0121701019676,999.6394852416918,997.0832962616427,997.4200831650239,996.5269814155884,997.7450508234783,997.7694269425268,999.4864299558504,1001.9118195922517
1446,996.6280932953878,1000.3263013462443,996.1634999982969,997.2295195953197,997.3284532528603,998.5177960886949,998.382141754555,1000.357019603019,1001.2247914191328
1493,995.7785269446803,999.5663251004013,996.6247080215543,997.5459831777817,997.5087761436915,998.5868092674625,997.935013304519,999.9580989882149,1001.0507136664924
1539,996.152632420685,1000.1487773512114,997.1205767633121,998.2564225237086,997.5216693435997,999.3774791920495,997.4142639811041,999.6502322045708,1000.6273963932128
1585,996.6228832343239,1000.4268673079655,997.6374696408589,998.0222263996969,996.8187095758011,999.9787745556453,996.8263757953667,999.5227745888916,1001.3792251152853
1632,997.4706785433897,999.5154872170596,997.4856410828014,997.8187912308284,996.7268148976984,1000.645067517758,996.6591173382228,999.6747878276673,1001.0240650590993
1678,997.3489843320257,999.1939449308845,997.2919207358182,998.3289114398458,997.4276127807896,1001.2531451460309,996.4523479984605,999.0565053502787,1000.6041993972219
1725,996.6798375650582,999.4857241197453,998.0671711151099,999.225527728116,997.0485423837687,1000.4917809469295,997.3532191576263,999.1949245382036,1000.8649012417096
1771,996.5975191526377,998.8684982824096,998.4611601924078,999.3069867864056,996.2712743965296,999.9124630309803,997.8809658580699,999.0903029820037,1000.1024268277707
1817,997.4191260352111,998.804874789492,997.9650632660986,998.7768175344197,996.0588842601317,999.9272126301472,997.6184956852626,998.8237881951649,1001.0689252851561
1864,996.8127289188614,998.0999745850539,998.1743430118952,997.9600346614653,996.2737366605259,1000.4453331336902,998.2803154224645,998.1110030379833,1001.9378566179518
1909,997.0280925031564,998.1810815047978,997.5814287913848,997.0949889877476,995.4111108964203,999.9552046381107,998.5275860006842,997.7139263781529,1002.7356968331752
1957,996.8871075442266,998.4351549768191,997.0333133990407,996.2807433298475,994.6507161671839,1000.8621266969419,998.5337125871797,997.4909916487215,1003.4163046267116
2004,996.4909136435732,998.7450248991997,997.6666993344874,995.980205053385,995.3649948936526,1000.8969077650938,998.4994034611841,996.7813682741489,1004.1801580201388
2051,996.410264034217,998.7755183951666,998.4843194750557,995.1852828045189,996.3516433146135,1001.7850250554512,997.8107270847053,996.0568538259614,1003.8015449823166
2097,995.8899655036413,998.7559222370572,997.5784087357481,994.2167967106998,996.9152720286352,1001.0045490337648,998.1140948169236,996.1396536557842,1004.5315215517076
2145,994.9454629814918,999.3768896214153,998.5678269959004,994.8231440763433,997.7084786246446,1000.8701826112099,998.3218685800754,996.5729042907387,1004.7843728471023
2191,995.4908311740845,999.0393536474525,998.0861426003177,995.0874793280775,997.8560812214226,1000.0437795191405,997.8306479376157,996.6750480281744,1005.3873703097516
2237,995.1332768867019,999.8059973096862,997.8593441613151,994.157083559321,997.9283780996528,999.2247976803598,997.006714432548,997.4194096597896,1004.9035587264474
2284,995.3911026661866,999.4017266791258,997.8741083603127,994.1651224125719,998.7360673422,999.1878869788326,997.3896155265081,996.5247708373045,1004.3380572224274
2329,995.6983809979345,1000.3498821142844,998.6169314006415,994.998717377891,998.1549347650364,999.7685585145467,996.4038330468617,997.129818579567,1004.352567120763
2375,995.1033639794747,1000.7255910151326,998.453750162653,995.8575803602068,999.0061780298429,999.0890593761361,995.4682939430705,998.0435723325911,1003.8219169443224
2421,996.0188193340258,1000.9877015188956,997.5495780137054,996.7388957853807,998.040186007435,998.0919185132065,994.9751323443625,998.7385981156059,1004.627985204057
2467,995.6812787259004,1001.8553903376983,996.7356283671702,996.3664672106555,998.0382688200483,998.6166579315872,995.0648683838094,999.0521307051168,1005.4743811534403
2514,995.3447446454609,1001.4441919116762,997.173521714557,997.2875889081811,997.1793056873805,998.5209960180929,995.436741079094,999.2399621039592,1005.6184090886336
