time,TC1,TC2,TC3,TC4,PT1,PT2,PT3,PT4,LC
59,1000,1000,1000,1000,1000,1000,1000,1000,1000
104,1000.0207472186586,1000.2349993890587,1000.0547385335913,1000.279897848637,1000.7040502927616,1000.246867897366,1000.8944450237884,1000.269287684764,1000.1685891837964
151,1000.8226923312471,1000.3364837466092,1000.821478658578,1000.9948941394342,1000.9485476624658,1000.7964134093547,1000.9602048000681,1000.8579321623649,1000.5936823048269
198,1001.0459999670597,1001.2238766901186,1001.4145676496545,1001.6623401241887,1001.593675955958,1001.0795939086677,1001.239700502219,1001.4443465647404,1001.4719495743727
245,1001.1163711662956,1001.6838615309169,1001.6532307492214,1002.0361295711535,1002.2016211795718,1001.1446240316762,1001.3931856076754,1002.138812173598,1001.9377326615197
293,1001.3624709210338,1001.7800507791243,1001.7309264865228,1002.815504812812,1002.6101931562567,1001.6233796959314,1001.9191161505246,1002.3017555727251,1002.2981173964282
339,1002.2237762087109,1002.3459012683824,1002.3308453316488,1003.6398265388924,1002.6244333341484,1002.4506160625396,1002.5646574330256,1002.4056048984967,1002.9995461640475
386,1002.7042414294892,1003.2975961267729,1002.7012097984924,1004.19297742563,1003.0344705818604,1002.5069548652809,1003.3115984947681,1002.7580652756437,1003.40365751427
433,1003.0653174177899,1003.5808565127804,1003.251362639768,1005.143485808723,1003.5920309023451,1002.9196878725083,1003.832908985144,1003.1558319225037,1003.4873689429118
480,1003.7544141935748,1004.2713203827952,1003.5446256956745,1005.6509695218217,1004.2783673184466,1003.3834919145695,1004.5765667884651,1004.0144779579491,1003.7871815730814
527,1004.7038354447034,1004.7473654548087,1004.1158864842022,1006.6190355889627,1004.5464433505884,1004.3567680984107,1005.5102959772222,1004.1867983164019,1004.6036165845248
575,1005.5115398325529,1004.8598830237053,1004.1543512707824,1007.0454284141481,1005.1728470122749,1004.5405545465625,1006.4438119167307,1004.960587383068,1005.3164619381627
622,1005.6290011568811,1005.1078249296622,1004.6679591109513,1007.3987640946734,1005.3369588974967,1005.1531244123016,1007.3424024948235,1005.1106707255592,1006.2671437669106
669,1005.696112524685,1005.4520750457017,1005.0234236224427,1008.12163882338,1006.1878932892175,1005.913281278819,1007.4551589838416,1005.5344538564586,1006.273624372242
