time,TC1,TC2,TC3,TC4,PT1,PT2,PT3,PT4,LC
60,1000,1000,1000,1000,1000,1000,1000,1000,1000
108,1000.8074307604647,1000.7121628960914,1000.2426929980356,1000.2417910066328,1000.3816444061426,1000.9479631123139,1000.6971194139738,1000.4621432061174,1000.6319276370996
150,1001.7448602179087,1001.6815888484833,1001.12906579906,1001.1358747133152,1000.8837241916036,1001.6544916183208,1001.4400494717553,1000.5342876715366,1001.4009673477007
197,1002.6049256956929,1002.3759146951196,1001.7899893597682,1001.5559148306635,1001.1533048966061,1002.1064992552156,1002.1271740440301,1001.5137544755628,1001.4953671637304
244,1003.4529950346742,1002.9492107108176,1002.029238320411,1001.8327117341927,1001.3174322984104,1002.9319547074301,1002.3903551018861,1001.515401218098,1001.6953773548521
291,1003.6198417463329,1003.7638466401461,1002.1212803053556,1002.7583888608493,1002.2711064752216,1003.1828112696318,1002.4108377537732,1001.5586507991405,1002.2302573620423
338,1004.4473627105075,1004.0287312273174,1002.3283500249452,1003.5768502859039,1003.0363212188312,1003.9470633038219,1003.0150360085668,1002.3839300045031,1002.332764065683
379,1004.4837201199952,1004.6510603938849,1002.8213846454328,1003.887002820752,1003.8640463354598,1004.6177725399253,1003.9847924547025,1002.8496297681078,1002.4821093139427
433,1005.2738193161214,1005.0461676205048,1002.8530725357339,1004.5316260842147,1004.030418438298,1005.3414596013143,1004.7787744645871,1003.8092657233677,1002.526937146054
480,1005.8460829909221,1005.8515257373798,1002.9859435301909,1004.9894887333267,1004.1531967440885,1005.7902578546423,1005.4622746275027,1003.8409971915274,1002.9554655317194
527,1006.7635712894239,1006.2521770061172,1003.3734765697823,1005.2610330546715,1004.4832231520732,1006.0307849567132,1006.0381585736675,1004.3535073760482,1003.7024067441065
575,1007.701871657578,1006.3486854523205,1004.0560626948109,1005.9823802146847,1005.0930598094355,1006.3511136657245,1006.7233646368092,1004.941444544729,1004.5059282206995
618,1007.8300222902927,1006.3748274256407,1004.4869232637908,1006.7580895873517,1006.0285454880768,1006.51126501703,1007.7064863956159,1005.3800638146619,1004.7695437406055
663,1007.92588316968,1006.6443886709174,1004.599673577056,1006.774925512207,1006.354820065336,1007.1180689615053,1008.1902008475028,1006.0858720948854,1005.1767249489159
716,1008.9053420401812,1007.5721940168173,1005.5963391838247,1007.2804413895426,1006.8366794161526,1008.0366595557945,1008.9159320967482,1006.514359896856,1006.0416947748708
764,1009.5463647196467,1008.3624283862841,1006.5050221900977,1007.4712413074902,1007.1911576300022,1008.7483081422373,1009.1805738047216,1006.729398621659,1006.641363626405
811,1010.3757417243247,1008.4757686952888,1007.4396383219918,1007.9115996336901,1007.6737079486774,1009.2230674414265,1009.2426315987028,1006.8001273135745,1007.1598813829828
